No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS,
1,-3.26,-3.28,-3.22,-3.47,-3.2,-3.34,-3.28,
2,-3.26,-3.28,-3.34,-3.47,-3.37,-3.64,-3.4,
3,-3.26,-3.28,-3.34,-3.47,-3.4,-3.65,-3.44,
4,-3.28,-3.28,-3.34,-3.49,-3.43,-3.66,-3.46,
5,-3.28,-3.28,-3.34,-3.49,-3.45,-3.67,-3.49,
6,-3.28,-3.28,-3.34,-3.49,-3.452,-3.68,-3.49,
7,-3.28,-3.289,-3.34,-3.49,-3.454,-3.7,-3.5,
8,-3.28,-3.298,-3.34,-3.49,-3.456,-3.71,-3.51,
9,-3.29,-3.307,-3.34,-3.5,-3.458,-3.72,-3.55,
10,-3.29,-3.316,-3.342,-3.5,-3.46,-3.73,-3.56,
11,-3.29,-3.325,-3.342,-3.5,-3.462,-3.73,-3.57,
12,-3.29,-3.334,-3.342,-3.5,-3.465,-3.73,-3.6,
13,-3.29,-3.343,-3.342,-3.5,-3.468,-3.73,-3.62,
14,-3.29,-3.352,-3.342,-3.5,-3.471,-3.73,-3.64,
15,-3.29,-3.361,-3.342,-3.5,-3.474,-3.74,-3.65,
16,-3.29,-3.37,-3.342,-3.5,-3.477,-3.74,-3.67,
17,-3.3,-3.379,-3.342,-3.51,-3.48,-3.74,-3.67,
18,-3.3,-3.388,-3.342,-3.51,-3.483,-3.74,-3.7,
19,-3.3,-3.397,-3.344,-3.51,-3.486,-3.75,-3.72,
20,-3.3,-3.406,-3.344,-3.51,-3.49,-3.75,-3.72,
21,-3.3,-3.415,-3.344,-3.51,-3.494,-3.75,-3.73,
22,-3.3,-3.424,-3.344,-3.51,-3.498,-3.75,-3.74,
23,-3.3,-3.433,-3.344,-3.51,-3.502,-3.75,-3.74,
24,-3.3,-3.442,-3.344,-3.51,-3.506,-3.75,-3.74,
25,-3.3,-3.451,-3.344,-3.51,-3.51,-3.75,-3.75,
26,-3.31,-3.453,-3.346,-3.525,-3.515,-3.75,-3.75,
27,-3.31,-3.453,-3.346,-3.525,-3.52,-3.76,-3.76,
28,-3.31,-3.453,-3.346,-3.525,-3.525,-3.76,-3.77,
29,-3.31,-3.453,-3.346,-3.525,-3.53,-3.76,-3.78,
30,-3.31,-3.455,-3.346,-3.525,-3.535,-3.76,-3.78,
31,-3.31,-3.455,-3.346,-3.525,-3.541,-3.77,-3.78,
32,-3.31,-3.455,-3.346,-3.525,-3.547,-3.77,-3.79,
33,-3.31,-3.455,-3.351,-3.525,-3.553,-3.77,-3.79,
34,-3.31,-3.455,-3.351,-3.525,-3.559,-3.77,-3.79,
35,-3.31,-3.456,-3.351,-3.525,-3.565,-3.78,-3.8,
36,-3.31,-3.456,-3.351,-3.525,-3.571,-3.78,-3.8,
37,-3.31,-3.456,-3.351,-3.525,-3.577,-3.78,-3.8,
38,-3.31,-3.456,-3.351,-3.525,-3.583,-3.78,-3.81,
39,-3.31,-3.456,-3.351,-3.525,-3.589,-3.79,-3.81,
40,-3.31,-3.456,-3.351,-3.525,-3.595,-3.79,-3.82,
41,-3.31,-3.456,-3.351,-3.525,-3.599,-3.79,-3.82,
42,-3.31,-3.456,-3.351,-3.525,-3.603,-3.79,-3.82,
43,-3.31,-3.456,-3.351,-3.525,-3.607,-3.8,-3.82,
44,-3.32,-3.459,-3.351,-3.535,-3.611,-3.8,-3.83,
45,-3.32,-3.459,-3.351,-3.535,-3.615,-3.8,-3.83,
46,-3.32,-3.459,-3.353,-3.535,-3.619,-3.8,-3.83,
