No. of Iterations,MFO,FFA,GWO,DE,MVO,HHO,MFOS
1,20.62,20.68,20.69,20.59,20.68,20.6,20.68
2,20.59,20.25,20.57,20.55,20.57,20.48,19.78
3,20.56,20.12,20.49,20.54,20.43,20.4,18.88
4,20.55,20.04,20.41,20.52,20.35,20.32,17.98
5,20.51,19.95,20.36,20.48,20.25,20.27,17.08
6,20.51,19.9,20.33,20.47,20.13,20.24,16.18
7,20.46,19.86,20.26,20.45,19.99,20.17,15.28
8,20.42,19.83,20.25,20.41,19.91,20.16,14.38
9,20.39,19.81,20.25,20.38,19.82,20.16,13.48
10,20.37,19.8,20.23,20.36,19.68,20.14,12.58
11,20.35,19.77,20.22,20.31,19.54,20.13,11.68
12,20.34,19.71,20.22,20.29,19.44,20.13,10.78
13,20.34,19.68,20.22,20.24,19.29,20.13,10.27
14,20.32,19.67,20.22,20.22,19.09,20.13,9.76
15,20.3,19.65,20.22,20.16,18.95,20.13,9.25
16,20.28,19.58,20.22,20.15,18.82,20.13,8.74
17,20.25,19.53,20.22,20.11,18.66,19.88,8.23
18,20.23,19.53,20.22,20.05,18.53,19.75,7.72
19,20.22,19.46,20.22,20.04,18.37,19.59,7.21
20,20.21,19.42,20.22,19.92,18.24,19.46,6.7
21,20.19,19.34,20.22,19.87,18.1,19.32,6.19
22,20.19,19.19,20.22,19.78,17.97,19.19,5.68
23,20.18,19.13,20.2,19.75,17.88,19.1,5.17
24,20.17,19.05,20.2,19.71,17.67,18.89,4.66
25,20.16,18.91,20.2,19.67,17.58,18.8,4.15
26,20.14,18.79,20.2,19.59,17.47,18.69,3.64
27,20.12,18.68,20.2,19.52,17.38,18.6,3.13
28,20.08,18.62,20.2,19.48,17.27,18.49,2.62
29,20.07,18.51,20.2,19.44,17.11,18.33,2.11
30,20.05,18.37,20.2,19.36,17.03,18.25,1.6
31,20.03,18.32,20.2,19.31,16.97,18.19,1.09
32,20.03,18.24,20.2,19.14,16.74,17.96,0.58
33,20,18.17,20.2,18.95,16.68,17.9,0.07
34,19.98,17.96,20.2,18.89,16.56,17.78,0
35,19.96,17.81,20.2,18.78,16.46,17.68,0
36,19.94,17.64,20.19,18.7,16.37,17.59,0
37,19.91,17.58,20.19,18.59,16.3,17.52,0
38,19.91,17.48,20.19,18.45,16.24,17.46,0
39,19.89,17.41,20.19,18.35,16.12,17.34,0
40,19.86,17.26,20.19,18.31,16.04,17.26,0
41,19.84,17.16,20.19,18.17,15.88,17.1,0
42,19.83,16.97,20.19,18.06,15.77,16.99,0
43,19.81,16.87,20.19,18.05,15.7,16.92,0
44,19.8,16.75,20.19,17.94,15.63,16.85,0
45,19.77,16.69,20.19,17.84,15.52,16.74,0
46,19.76,16.59,20.19,17.73,15.37,16.59,0
47,19.76,16.49,20.19,17.58,15.3,16.52,0
48,19.73,16.42,20.19,17.46,15.23,16.45,0
49,19.72,16.19,20.19,17.42,15.2,16.42,0
50,19.69,15.99,20.19,17.27,15.14,16.36,0
51,19.67,15.89,20.19,17.2,15.06,16.28,0
52,19.64,15.78,20.19,17.08,14.97,16.19,0
53,19.61,15.64,20.19,16.99,14.93,16.15,0
54,19.61,15.53,20.19,16.9,14.88,16.1,0
55,19.6,15.27,20.19,16.73,14.78,16,0
56,19.59,15.12,20.19,16.7,14.75,15.97,0
57,19.58,15.07,20.19,16.54,14.71,15.93,0
58,19.57,14.89,20.19,16.41,14.65,15.87,0
59,19.55,14.7,20.19,16.34,14.58,15.8,0
60,19.54,14.64,20.19,16.13,14.51,15.73,0
61,19.52,14.62,20.19,15.99,14.45,15.67,0
62,19.5,14.54,20.19,15.89,14.39,15.61,0
